,label,study_and_condition
158,__label__0,lymphom diagnos fem subject eith post menopaus surg steril wil us acceiv method bir control hormon contraceiv intr uterin dev diaphragm spermicid condom spermicid abstin dur study thirty day last vaccin admin lymphoma diagnosis female subject either post menopausal surgically sterilize will use acceptable method birth control hormonal contraceptive intra uterine device diaphragm spermicide condom spermicide abstinence duration study thirty days last vaccination administer
159,__label__1,temporomandibul joint disord diagnos subject tak regul steroid narcot med exclud temporomandibular joint disorder diagnosis subject take regularly steroids narcotics medications exclude
160,__label__1,relaps refract medulloblastom mb part also includ neuroblastom nb ew sarcom es alveol rhabdomyosarcom arm diagnos prevy receiv tb four hundr three relapse refractory medulloblastoma mb part also include neuroblastoma nb ewing sarcoma es alveolar rhabdomyosarcoma arm diagnosis previously receive tb four hundred three
161,__label__0,breast cant diagnos sex breast cancer diagnosis sex
162,__label__0,colorect cant diagnos lif expect greater_than twelv week colorectal cancer diagnosis life expectancy greater_than twelve weeks
163,__label__0,fallop tub cant diagnos alkalin phosphatas less_than doc tim uln fallopian tube cancer diagnosis alkaline phosphatase less_than doc time uln
164,__label__1,diffus larg cel lymphom diagnos pri tre cytotox drug rituximab anoth condit exampl rheumatoid arthrit pri us ant cdtwenty antibody diffuse large cell lymphoma diagnosis prior treatment cytotoxic drug rituximab another condition example rheumatoid arthritis prior use anti cdtwenty antibody
165,__label__0,anaplast larg cel lymphom alk neg diagnos pri therapy exceiv pri rady therapy on cyc chemotherapy may chemotherapy regim ev prednison alon bas cur diagnos clin condit cyc tre count toward six cyc tre giv study anaplastic large cell lymphoma alk negative diagnosis prior therapy exception prior radiation therapy one cycle chemotherapy may chemotherapy regimen even prednisone alone base current diagnosis clinical condition cycle treatment count toward six cycle treatment give study
166,__label__0,endomet clear cel adenocarcinom diagnos elig high pri gog protocol on ex act phas ii gog protocol paty pop endometrial clear cell adenocarcinoma diagnosis eligible higher priority gog protocol one exist active phase iii gog protocol patient population
167,__label__1,recur adult brain tum diagnos must abl swallow caps recurrent adult brain tumor diagnosis must able swallow capsule
168,__label__1,stag iv child smal noncleav cel lymphom diagnos don stage iv childhood small noncleaved cell lymphoma diagnosis donor
169,__label__0,sarcom diagnos diagnos sarcoma diagnosis diagnosis
170,__label__1,breast cant diagnos subject un read understand execut inform cons proc breast cancer diagnosis subject unable read understand execute inform consent procedure
171,__label__0,undifferenty ov carcinom diagnos prothrombin tim pt intern norm ratio inr equal_than less_than doc uln rang inr us two three paty stabl dos therapeut warfarin part thromboplastin tim ptt equal_than less_than doc tim up limit norm heparin lovenox altern anticoag acceiv correspond ctcae vert doc grad on on less oneon 0two_two009 0three_two9 one0 undifferentiated ovarian carcinoma diagnosis prothrombin time pt international normalize ratio inr equal_than less_than doc uln range inr usually two three patient stable dose therapeutic warfarin partial thromboplastin time ptt equal_than less_than doc time upper limit normal heparin lovenox alternative anticoagulants acceptable correspond ctcae version doc grade one one less oneone 0two_two009 0three_two9 one0
172,__label__1,tum greater_than equal_than doc cm greatest ax dimend tumors greater_than equal_than doc cm greatest axial dimension
173,__label__1,adult rhabdomyosarcom diagnos paty botryoid histolog stag group inelig adult rhabdomyosarcoma diagnosis patients botryoid histology stage group ineligible
174,__label__1,stag iic fallop tub cant diagnos paty gog perform grad three four stage iic fallopian tube cancer diagnosis patients gog performance grade three four
175,__label__1,lymphom larg cel diffus diagnos correct qt interv greater_than four hundr eighty msec us frideric formul lymphoma large cell diffuse diagnosis correct qt interval greater_than four hundred eighty msec use fridericia formula
176,__label__0,lymphom diagnos chronic myeloid leukem cml inadequ respons imatinib meet on follow criter lymphoma diagnosis chronic myeloid leukemia cml inadequate response imatinib meet one follow criteria
177,__label__0,lymphom diagnos paty charact lymphoma diagnosis patient characteristics
178,__label__0,breast cant diagnos paty charact breast cancer diagnosis patient characteristics
179,__label__0,breast cant diagnos peau orang skin chang breast cancer diagnosis peau orange skin change
180,__label__0,pedy cant diagnos ser tot bilirubin less_than two mg dl ser ast alt less eq three up limit norm pediatric cancers diagnosis serum total bilirubin less_than two mg dl serum ast alt less equal three upper limit normal
181,__label__1,non hodgkin lymphom diagnos psychy il could pot interf complet tre accord protocol non hodgkins lymphoma diagnosis psychiatric illness could potentially interfere completion treatment accord protocol
182,__label__0,metast colorect cant diagnos fluoropyrimidin oxaliplatin irinotec bevacizumab cetuximab panitumumab metastatic colorectal cancer diagnosis fluoropyrimidines oxaliplatin irinotecan bevacizumab cetuximab panitumumab
183,__label__1,non haematolog malign within past three year exceiv adequ tre bas cel carcinom squam cel skin cant thyroid cant carcinom situ cervix breast prost cant gleason grad six less stabl prost spec antig level cant consid cur surg resect unlik impact surv dur study loc transit cel carcinom blad benign tumo adr gland pancrea non haematological malignancy within past three years exception adequately treat basal cell carcinoma squamous cell skin cancer thyroid cancer carcinoma situ cervix breast prostate cancer gleason grade six less stable prostate specific antigen level cancer consider cure surgical resection unlikely impact survival duration study localise transitional cell carcinoma bladder benign tumours adrenal gland pancreas
184,__label__0,child malign mesenchymom diagnos ast alt less_than doc tim uln childhood malignant mesenchymoma diagnosis ast alt less_than doc time uln
185,__label__0,brain stem gliom diagnos inform cons sign particip par guard accord guidelin institut review board brain stem glioma diagnosis inform consent sign participant parent guardian accord guidelines institutional review board
186,__label__0,stag iv squam cel carcinom paranas sin nas cav diagnos least four week sint pri maj surgery stage iv squamous cell carcinoma paranasal sinus nasal cavity diagnosis least four weeks since prior major surgery
187,__label__1,smal cel glioblastom diagnos among criter paty meet follow condit elig study small cell glioblastoma diagnosis among criteria patients meet follow condition eligible study
188,__label__1,multipl myelom diagnos paty greater_than doc up limit norm tot bilirubin multiple myeloma diagnosis patient greater_than doc upper limit normal total bilirubin
189,__label__0,stag ii colon cant diagnos least two week sint pri min surgery recov stage iiic colon cancer diagnosis least two weeks since prior minor surgery recover
190,__label__1,hepatocellul carcinom diagnos platelet less_than sev doc zero ant less_than 15zero hemoglobin less_than doc mg dl inadequ coag stat nam inr greater_than two quick less_than fifty apt greater_than fifty sec abs drug interf coag warfarin phenprocoumon nmh ufh hepatocellular carcinoma diagnosis platelets less_than seven doc zero anc less_than 15zero hemoglobin less_than doc mg dl inadequate coagulation status namely inr greater_than two quick less_than fifty aptt greater_than fifty sec absence drug interfere coagulation warfarin phenprocoumon nmh ufh
191,__label__1,reg digest system neuroendocrin tum gon diagnos fem paty pregn breast fee adult reproduc pot us effect bir control method pregn wom exclud study breastfee wom exclud regional digestive system neuroendocrine tumor go diagnosis female patients pregnant breast feed adults reproductive potential use effective birth control methods pregnant women exclude study breastfeed women exclude
192,__label__0,recur prim periton carcinom diagnos creatinin equal_than less_than doc uln recurrent primary peritoneal carcinoma diagnosis creatinine equal_than less_than doc uln
193,__label__0,fallop tub carcinosarcom diagnos creatinin equal_than less_than doc institut up limit norm uln ctcae grad on fallopian tube carcinosarcoma diagnosis creatinine equal_than less_than doc institutional upper limit normal uln ctcae grade one
194,__label__1,myelodysplast myeloprol neoplasm unclass diagnos paty receiv antifung therapy voriconazol posaconazol fluconazol random arm three must rapamycin reduc accord standard pract antifung therapy guidelin myelodysplastic myeloproliferative neoplasm unclassifiable diagnosis patients receive antifungal therapy voriconazole posaconazole fluconazole randomize arm three must rapamycin reduce accord standard practice antifungal therapy guidelines
195,__label__1,melanom diagnos wom childbear pot wocbp defin melanoma diagnosis women childbearing potential wocbp define
196,__label__0,stag ii child lymphoblast lymphom diagnos paty must cr defin hematolog recovery less_than fiv blast morpholog within bon marrow cellul greater_than equal_than 1five stage iii childhood lymphoblastic lymphoma diagnosis patients must cr define hematologic recovery less_than five blast morphology within bone marrow cellularity greater_than equal_than 1five
